end of batch....0, cost so far 15356
end of batch....5591, cost so far 6642
end of batch....5592, cost so far 6642
end of batch....5593, cost so far 6642
end of batch....5594, cost so far 6642
end of batch....5595, cost so far 6642
end of batch....5596, cost so far 6642
end of batch....5597, cost so far 6642
end of batch....5598, cost so far 6642
end of batch....5599, cost so far 6642
end of batch....5600, cost so far 6642
end of batch....5601, cost so far 6642
end of batch....5602, cost so far 6642
end of batch....5603, cost so far 6642
end of batch....5604, cost so far 6642
end of batch....5605, cost so far 6642
end of batch....5606, cost so far 6642
end of batch....5607, cost so far 6642
end of batch....5608, cost so far 6642
end of batch....5609, cost so far 6642
end of batch....5610, cost so far 6642
end of batch....5611, cost so far 6642
end of batch....5612, cost so far 6642
end of batch....5613, cost so far 6642
end of batch....5614, cost so far 6642
end of batch....5615, cost so far 6642
end of batch....5616, cost so far 6642
end of batch....5617, cost so far 6642
end of batch....5618, cost so far 6642
end of batch....5619, cost so far 6642
end of batch....5620, cost so far 6642
end of batch....5621, cost so far 6642
end of batch....5622, cost so far 6642
end of batch....5623, cost so far 6642
end of batch....5624, cost so far 6642
end of batch....5625, cost so far 6642
end of batch....5626, cost so far 6642
end of batch....5627, cost so far 6642
end of batch....5628, cost so far 6642
end of batch....5629, cost so far 6642
end of batch....5630, cost so far 6642
end of batch....5631, cost so far 6642
end of batch....5632, cost so far 6642
end of batch....5633, cost so far 6642
end of batch....5634, cost so far 6642
end of batch....5635, cost so far 6642
end of batch....5636, cost so far 6642
end of batch....5637, cost so far 6642
end of batch....5638, cost so far 6642
end of batch....5639, cost so far 6642
end of batch....5640, cost so far 6642
end of batch....5641, cost so far 6642
end of batch....5642, cost so far 6642
end of batch....5643, cost so far 6642
end of batch....5644, cost so far 6642
end of batch....5645, cost so far 6642
end of batch....5646, cost so far 6642
end of batch....5647, cost so far 6642
end of batch....5648, cost so far 6642
end of batch....5649, cost so far 6642
end of batch....5650, cost so far 6642
end of batch....5651, cost so far 6642
end of batch....5652, cost so far 6642
end of batch....5653, cost so far 6642
end of batch....5654, cost so far 6642
end of batch....5655, cost so far 6642
end of batch....5656, cost so far 6642
end of batch....5657, cost so far 6642
end of batch....5658, cost so far 6642
end of batch....5659, cost so far 6642
end of batch....5660, cost so far 6642
end of batch....5661, cost so far 6642
end of batch....5662, cost so far 6642
end of batch....5663, cost so far 6642
end of batch....5664, cost so far 6642
end of batch....5665, cost so far 6642
end of batch....5666, cost so far 6642
end of batch....5667, cost so far 6642
end of batch....5668, cost so far 6642
end of batch....5669, cost so far 6642
end of batch....5670, cost so far 6642
end of batch....5671, cost so far 6642
end of batch....5672, cost so far 6642
end of batch....5673, cost so far 6642
end of batch....5674, cost so far 6642
end of batch....5675, cost so far 6642
end of batch....5676, cost so far 6642
end of batch....5677, cost so far 6642
end of batch....5678, cost so far 6642
end of batch....5679, cost so far 6642
end of batch....5680, cost so far 6642
end of batch....5681, cost so far 6642
end of batch....5682, cost so far 6642
end of batch....5683, cost so far 6642
end of batch....5684, cost so far 6642
end of batch....5685, cost so far 6642
end of batch....5686, cost so far 6642
end of batch....5687, cost so far 6642
end of batch....5688, cost so far 6642
end of batch....5689, cost so far 6642
end of batch....5690, cost so far 6642
end of batch....5691, cost so far 6642
end of batch....5692, cost so far 6642
end of batch....5693, cost so far 6642
end of batch....5694, cost so far 6642
end of batch....5695, cost so far 6642
end of batch....5696, cost so far 6642
end of batch....5697, cost so far 6642
end of batch....5698, cost so far 6642
end of batch....5699, cost so far 6642
end of batch....5700, cost so far 6642
end of batch....5701, cost so far 6642
end of batch....5702, cost so far 6642
end of batch....5703, cost so far 6642
end of batch....5704, cost so far 6642
end of batch....5705, cost so far 6642
end of batch....5706, cost so far 6642
end of batch....5707, cost so far 6642
end of batch....5708, cost so far 6642
end of batch....5709, cost so far 6642
end of batch....5710, cost so far 6642
end of batch....5711, cost so far 6642
end of batch....5712, cost so far 6642
end of batch....5713, cost so far 6642
end of batch....5714, cost so far 6642
end of batch....5715, cost so far 6642
end of batch....5716, cost so far 6642
end of batch....5717, cost so far 6642
end of batch....5718, cost so far 6642
end of batch....5719, cost so far 6642
end of batch....5720, cost so far 6642
end of batch....5721, cost so far 6642
end of batch....5722, cost so far 6642
end of batch....5723, cost so far 6642
end of batch....5724, cost so far 6642
end of batch....5725, cost so far 6642
end of batch....5726, cost so far 6642
end of batch....5727, cost so far 6642
end of batch....5728, cost so far 6642
end of batch....5729, cost so far 6642
end of batch....5730, cost so far 6642
end of batch....5731, cost so far 6642
end of batch....5732, cost so far 6642
end of batch....5733, cost so far 6642
end of batch....5734, cost so far 6642
end of batch....5735, cost so far 6642
end of batch....5736, cost so far 6642
end of batch....5737, cost so far 6642
end of batch....5738, cost so far 6642
end of batch....5739, cost so far 6642
end of batch....5740, cost so far 6642
end of batch....5741, cost so far 6642
end of batch....5742, cost so far 6642
end of batch....5743, cost so far 6642
end of batch....5744, cost so far 6642
end of batch....5745, cost so far 6642
end of batch....5746, cost so far 6642
end of batch....5747, cost so far 6642
end of batch....5748, cost so far 6642
end of batch....5749, cost so far 6642
end of batch....5750, cost so far 6642
end of batch....5751, cost so far 6642
end of batch....5752, cost so far 6642
end of batch....5753, cost so far 6642
end of batch....5754, cost so far 6642
end of batch....5755, cost so far 6642
end of batch....5756, cost so far 6642
end of batch....5757, cost so far 6642
end of batch....5758, cost so far 6642
end of batch....5759, cost so far 6642
end of batch....5760, cost so far 6642
end of batch....5761, cost so far 6642
end of batch....5762, cost so far 6642
end of batch....5763, cost so far 6642
end of batch....5764, cost so far 6642
end of batch....5765, cost so far 6642
end of batch....5766, cost so far 6642
end of batch....5767, cost so far 6642
end of batch....5768, cost so far 6642
end of batch....5769, cost so far 6642
end of batch....5770, cost so far 6642
end of batch....5771, cost so far 6642
end of batch....5772, cost so far 6642
end of batch....5773, cost so far 6642
end of batch....5774, cost so far 6642
end of batch....5775, cost so far 6642
end of batch....5776, cost so far 6642
end of batch....5777, cost so far 6642
end of batch....5778, cost so far 6642
end of batch....5779, cost so far 6642
end of batch....5780, cost so far 6642
end of batch....5781, cost so far 6642
end of batch....5782, cost so far 6642
end of batch....5783, cost so far 6642
end of batch....5784, cost so far 6642
end of batch....5785, cost so far 6642
end of batch....5786, cost so far 6642
end of batch....5787, cost so far 6642
end of batch....5788, cost so far 6642
end of batch....5789, cost so far 6642
end of batch....5790, cost so far 6642
end of batch....5791, cost so far 6642
end of batch....5792, cost so far 6642
end of batch....5793, cost so far 6642
end of batch....5794, cost so far 6642
end of batch....5795, cost so far 6642
end of batch....5796, cost so far 6642
end of batch....5797, cost so far 6642
end of batch....5798, cost so far 6642
end of batch....5799, cost so far 6642
end of batch....5800, cost so far 6642
end of batch....5801, cost so far 6642
end of batch....5802, cost so far 6642
end of batch....5803, cost so far 6642
end of batch....5804, cost so far 6642
end of batch....5805, cost so far 6642
end of batch....5806, cost so far 6642
end of batch....5807, cost so far 6642
end of batch....5808, cost so far 6642
end of batch....5809, cost so far 6642
end of batch....5810, cost so far 6642
end of batch....5811, cost so far 6642
end of batch....5812, cost so far 6642
end of batch....5813, cost so far 6642
end of batch....5814, cost so far 6642
end of batch....5815, cost so far 6642
end of batch....5816, cost so far 6642
end of batch....5817, cost so far 6642
end of batch....5818, cost so far 6642
end of batch....5819, cost so far 6642
end of batch....5820, cost so far 6642
end of batch....5821, cost so far 6642
end of batch....5822, cost so far 6642
end of batch....5823, cost so far 6642
end of batch....5824, cost so far 6642
end of batch....5825, cost so far 6642
end of batch....5826, cost so far 6642
end of batch....5827, cost so far 6642
end of batch....5828, cost so far 6642
end of batch....5829, cost so far 6642
end of batch....5830, cost so far 6642
end of batch....5831, cost so far 6642
end of batch....5832, cost so far 6642
end of batch....5833, cost so far 6642
end of batch....5834, cost so far 6642
end of batch....5835, cost so far 6642
end of batch....5836, cost so far 6642
end of batch....5837, cost so far 6642
end of batch....5838, cost so far 6642
end of batch....5839, cost so far 6642
end of batch....5840, cost so far 6642
end of batch....5841, cost so far 6642
end of batch....5842, cost so far 6642
end of batch....5843, cost so far 6642
end of batch....5844, cost so far 6642
end of batch....5845, cost so far 6642
end of batch....5846, cost so far 6642
end of batch....5847, cost so far 6642
end of batch....5848, cost so far 6642
end of batch....5849, cost so far 6642
end of batch....5850, cost so far 6642
end of batch....5851, cost so far 6642
end of batch....5852, cost so far 6642
end of batch....5853, cost so far 6642
end of batch....5854, cost so far 6642
end of batch....5855, cost so far 6642
end of batch....5856, cost so far 6642
end of batch....5857, cost so far 6642
end of batch....5858, cost so far 6642
end of batch....5859, cost so far 6642
end of batch....5860, cost so far 6642
end of batch....5861, cost so far 6642
end of batch....5862, cost so far 6642
end of batch....5863, cost so far 6642
end of batch....5864, cost so far 6642
end of batch....5865, cost so far 6642
end of batch....5866, cost so far 6642
end of batch....5867, cost so far 6642
end of batch....5868, cost so far 6642
end of batch....5869, cost so far 6642
end of batch....5870, cost so far 6642
end of batch....5871, cost so far 6642
end of batch....5872, cost so far 6642
end of batch....5873, cost so far 6642
end of batch....5874, cost so far 6642
end of batch....5875, cost so far 6642
end of batch....5876, cost so far 6642
end of batch....5877, cost so far 6642
end of batch....5878, cost so far 6642
end of batch....5879, cost so far 6642
end of batch....5880, cost so far 6642
end of batch....5881, cost so far 6642
end of batch....5882, cost so far 6642
end of batch....5883, cost so far 6642
end of batch....5884, cost so far 6642
end of batch....5885, cost so far 6642
end of batch....5886, cost so far 6642
end of batch....5887, cost so far 6642
end of batch....5888, cost so far 6642
end of batch....5889, cost so far 6642
end of batch....5890, cost so far 6642
end of batch....5891, cost so far 6642
end of batch....5892, cost so far 6642
end of batch....5893, cost so far 6642
end of batch....5894, cost so far 6642
end of batch....5895, cost so far 6642
end of batch....5896, cost so far 6642
end of batch....5897, cost so far 6642
end of batch....5898, cost so far 6642
end of batch....5899, cost so far 6642
end of batch....5900, cost so far 6642
end of batch....5901, cost so far 6642
end of batch....5902, cost so far 6642
end of batch....5903, cost so far 6642
end of batch....5904, cost so far 6642
end of batch....5905, cost so far 6642
end of batch....5906, cost so far 6642
end of batch....5907, cost so far 6642
end of batch....5908, cost so far 6642
end of batch....5909, cost so far 6642
end of batch....5910, cost so far 6642
end of batch....5911, cost so far 6642
end of batch....5912, cost so far 6642
end of batch....5913, cost so far 6642
end of batch....5914, cost so far 6642
end of batch....5915, cost so far 6642
end of batch....5916, cost so far 6642
end of batch....5917, cost so far 6642
end of batch....5918, cost so far 6642
end of batch....5919, cost so far 6642
end of batch....5920, cost so far 6642
end of batch....5921, cost so far 6642
end of batch....5922, cost so far 6642
end of batch....5923, cost so far 6642
end of batch....5924, cost so far 6642
end of batch....5925, cost so far 6642
end of batch....5926, cost so far 6642
end of batch....5927, cost so far 6642
end of batch....5928, cost so far 6642
end of batch....5929, cost so far 6642
end of batch....5930, cost so far 6642
end of batch....5931, cost so far 6642
end of batch....5932, cost so far 6642
end of batch....5933, cost so far 6642
end of batch....5934, cost so far 6642
end of batch....5935, cost so far 6642
end of batch....5936, cost so far 6642
end of batch....5937, cost so far 6642
end of batch....5938, cost so far 6642
end of batch....5939, cost so far 6642
end of batch....5940, cost so far 6642
end of batch....5941, cost so far 6642
end of batch....5942, cost so far 6642
end of batch....5943, cost so far 6642
end of batch....5944, cost so far 6642
end of batch....5945, cost so far 6642
end of batch....5946, cost so far 6642
end of batch....5947, cost so far 6642
end of batch....5948, cost so far 6642
end of batch....5949, cost so far 6642
end of batch....5950, cost so far 6642
end of batch....5951, cost so far 6642
end of batch....5952, cost so far 6642
end of batch....5953, cost so far 6642
end of batch....5954, cost so far 6642
end of batch....5955, cost so far 6642
end of batch....5956, cost so far 6642
end of batch....5957, cost so far 6642
end of batch....5958, cost so far 6642
end of batch....5959, cost so far 6642
end of batch....5960, cost so far 6642
end of batch....5961, cost so far 6642
end of batch....5962, cost so far 6642
end of batch....5963, cost so far 6642
end of batch....5964, cost so far 6642
end of batch....5965, cost so far 6642
end of batch....5966, cost so far 6642
end of batch....5967, cost so far 6642
end of batch....5968, cost so far 6642
end of batch....5969, cost so far 6642
end of batch....5970, cost so far 6642
end of batch....5971, cost so far 6642
end of batch....5972, cost so far 6642
end of batch....5973, cost so far 6642
end of batch....5974, cost so far 6642
end of batch....5975, cost so far 6642
end of batch....5976, cost so far 6642
end of batch....5977, cost so far 6642
end of batch....5978, cost so far 6642
end of batch....5979, cost so far 6642
end of batch....5980, cost so far 6642
end of batch....5981, cost so far 6642
end of batch....5982, cost so far 6642
end of batch....5983, cost so far 6642
end of batch....5984, cost so far 6642
end of batch....5985, cost so far 6642
end of batch....5986, cost so far 6642
end of batch....5987, cost so far 6642
end of batch....5988, cost so far 6642
end of batch....5989, cost so far 6642
end of batch....5990, cost so far 6642
end of batch....5991, cost so far 6642
end of batch....5992, cost so far 6642
end of batch....5993, cost so far 6642
end of batch....5994, cost so far 6642
end of batch....5995, cost so far 6642
end of batch....5996, cost so far 6642
end of batch....5997, cost so far 6642
end of batch....5998, cost so far 6642
end of batch....5999, cost so far 6642
end of batch....6000, cost so far 6642
end of batch....6001, cost so far 6642
end of batch....6002, cost so far 6642
end of batch....6003, cost so far 6642
end of batch....6004, cost so far 6642
end of batch....6005, cost so far 6642
end of batch....6006, cost so far 6642
end of batch....6007, cost so far 6642
end of batch....6008, cost so far 6642
end of batch....6009, cost so far 6642
end of batch....6010, cost so far 6642
end of batch....6011, cost so far 6642
end of batch....6012, cost so far 6642
end of batch....6013, cost so far 6642
end of batch....6014, cost so far 6642
end of batch....6015, cost so far 6642
end of batch....6016, cost so far 6642
end of batch....6017, cost so far 6642
end of batch....6018, cost so far 6642
end of batch....6019, cost so far 6642
end of batch....6020, cost so far 6642
end of batch....6021, cost so far 6642
end of batch....6022, cost so far 6642
end of batch....6023, cost so far 6642
end of batch....6024, cost so far 6642
end of batch....6025, cost so far 6642
end of batch....6026, cost so far 6642
end of batch....6027, cost so far 6642
end of batch....6028, cost so far 6642
end of batch....6029, cost so far 6642
end of batch....6030, cost so far 6642
end of batch....6031, cost so far 6642
end of batch....6032, cost so far 6642
end of batch....6033, cost so far 6642
end of batch....6034, cost so far 6642
end of batch....6035, cost so far 6642
end of batch....6036, cost so far 6642
end of batch....6037, cost so far 6642
end of batch....6038, cost so far 6642
end of batch....6039, cost so far 6642
end of batch....6040, cost so far 6642
end of batch....6041, cost so far 6642
end of batch....6042, cost so far 6642
end of batch....6043, cost so far 6642
end of batch....6044, cost so far 6642
end of batch....6045, cost so far 6642
end of batch....6046, cost so far 6642
end of batch....6047, cost so far 6642
end of batch....6048, cost so far 6642
end of batch....6049, cost so far 6642
end of batch....6050, cost so far 6642
end of batch....6051, cost so far 6642
end of batch....6052, cost so far 6642
end of batch....6053, cost so far 6642
end of batch....6054, cost so far 6642
end of batch....6055, cost so far 6642
end of batch....6056, cost so far 6642
end of batch....6057, cost so far 6642
end of batch....6058, cost so far 6642
end of batch....6059, cost so far 6642
end of batch....6060, cost so far 6642
end of batch....6061, cost so far 6642
end of batch....6062, cost so far 6642
end of batch....6063, cost so far 6642
end of batch....6064, cost so far 6642
end of batch....6065, cost so far 6642
end of batch....6066, cost so far 6642
end of batch....6067, cost so far 6642
end of batch....6068, cost so far 6642
end of batch....6069, cost so far 6642
end of batch....6070, cost so far 6642
end of batch....6071, cost so far 6642
end of batch....6072, cost so far 6642
end of batch....6073, cost so far 6642
end of batch....6074, cost so far 6642
end of batch....6075, cost so far 6642
end of batch....6076, cost so far 6642
end of batch....6077, cost so far 6642
end of batch....6078, cost so far 6642
end of batch....6079, cost so far 6642
end of batch....6080, cost so far 6642
end of batch....6081, cost so far 6642
end of batch....6082, cost so far 6642
end of batch....6083, cost so far 6642
end of batch....6084, cost so far 6642
end of batch....6085, cost so far 6642
end of batch....6086, cost so far 6642
end of batch....6087, cost so far 6642
end of batch....6088, cost so far 6642
end of batch....6089, cost so far 6642
end of batch....6090, cost so far 6642
end of batch....6091, cost so far 6642
end of batch....6092, cost so far 6642
end of batch....6093, cost so far 6642
end of batch....6094, cost so far 6642
end of batch....6095, cost so far 6642
end of batch....6096, cost so far 6642
end of batch....6097, cost so far 6642
end of batch....6098, cost so far 6642
end of batch....6099, cost so far 6642
end of batch....6100, cost so far 6642
end of batch....6101, cost so far 6642
end of batch....6102, cost so far 6642
end of batch....6103, cost so far 6642
end of batch....6104, cost so far 6642
end of batch....6105, cost so far 6642
end of batch....6106, cost so far 6642
end of batch....6107, cost so far 6642
end of batch....6108, cost so far 6642
end of batch....6109, cost so far 6642
end of batch....6110, cost so far 6642
end of batch....6111, cost so far 6642
end of batch....6112, cost so far 6642
end of batch....6113, cost so far 6642
end of batch....6114, cost so far 6642
end of batch....6115, cost so far 6642
end of batch....6116, cost so far 6642
end of batch....6117, cost so far 6642
end of batch....6118, cost so far 6642
end of batch....6119, cost so far 6642
end of batch....6120, cost so far 6642
end of batch....6121, cost so far 6642
end of batch....6122, cost so far 6642
end of batch....6123, cost so far 6642
end of batch....6124, cost so far 6642
end of batch....6125, cost so far 6642
end of batch....6126, cost so far 6642
end of batch....6127, cost so far 6642
end of batch....6128, cost so far 6642
end of batch....6129, cost so far 6642
end of batch....6130, cost so far 6642
end of batch....6131, cost so far 6642
end of batch....6132, cost so far 6642
end of batch....6133, cost so far 6642
end of batch....6134, cost so far 6642
end of batch....6135, cost so far 6642
end of batch....6136, cost so far 6642
end of batch....6137, cost so far 6642
end of batch....6138, cost so far 6642
end of batch....6139, cost so far 6642
end of batch....6140, cost so far 6642
end of batch....6141, cost so far 6642
end of batch....6142, cost so far 6642
end of batch....6143, cost so far 6642
end of batch....6144, cost so far 6642
end of batch....6145, cost so far 6642
end of batch....6146, cost so far 6642
end of batch....6147, cost so far 6642
end of batch....6148, cost so far 6642
end of batch....6149, cost so far 6642
end of batch....6150, cost so far 6642
end of batch....6151, cost so far 6642
end of batch....6152, cost so far 6642
end of batch....6153, cost so far 6642
end of batch....6154, cost so far 6642
end of batch....6155, cost so far 6642
end of batch....6156, cost so far 6642
end of batch....6157, cost so far 6642
end of batch....6158, cost so far 6642
end of batch....6159, cost so far 6642
end of batch....6160, cost so far 6642
end of batch....6161, cost so far 6642
end of batch....6162, cost so far 6642
end of batch....6163, cost so far 6642
end of batch....6164, cost so far 6642
end of batch....6165, cost so far 6642
end of batch....6166, cost so far 6642
end of batch....6167, cost so far 6642
end of batch....6168, cost so far 6642
end of batch....6169, cost so far 6642
end of batch....6170, cost so far 6642
end of batch....6171, cost so far 6642
end of batch....6172, cost so far 6642
end of batch....6173, cost so far 6642
end of batch....6174, cost so far 6642
end of batch....6175, cost so far 6642
end of batch....6176, cost so far 6642
end of batch....6177, cost so far 6642
end of batch....6178, cost so far 6642
end of batch....6179, cost so far 6642
end of batch....6180, cost so far 6642
end of batch....6181, cost so far 6642
end of batch....6182, cost so far 6642
end of batch....6183, cost so far 6642
end of batch....6184, cost so far 6642
end of batch....6185, cost so far 6642
end of batch....6186, cost so far 6642
end of batch....6187, cost so far 6642
end of batch....6188, cost so far 6642
end of batch....6189, cost so far 6642
end of batch....6190, cost so far 6642
end of batch....6191, cost so far 6642
end of batch....6192, cost so far 6642
end of batch....6193, cost so far 6642
end of batch....6194, cost so far 6642
end of batch....6195, cost so far 6642
end of batch....6196, cost so far 6642
end of batch....6197, cost so far 6642
end of batch....6198, cost so far 6642
end of batch....6199, cost so far 6642
end of batch....6200, cost so far 6642
end of batch....6201, cost so far 6642
end of batch....6202, cost so far 6642
end of batch....6203, cost so far 6642
end of batch....6204, cost so far 6642
end of batch....6205, cost so far 6642
end of batch....6206, cost so far 6642
end of batch....6207, cost so far 6642
end of batch....6208, cost so far 6642
end of batch....6209, cost so far 6642
end of batch....6210, cost so far 6642
end of batch....6211, cost so far 6642
end of batch....6212, cost so far 6642
end of batch....6213, cost so far 6642
end of batch....6214, cost so far 6642
end of batch....6215, cost so far 6642
end of batch....6216, cost so far 6642
end of batch....6217, cost so far 6642
end of batch....6218, cost so far 6642
end of batch....6219, cost so far 6642
end of batch....6220, cost so far 6642
end of batch....6221, cost so far 6642
end of batch....6222, cost so far 6642
end of batch....6223, cost so far 6642
end of batch....6224, cost so far 6642
end of batch....6225, cost so far 6642
end of batch....6226, cost so far 6642
end of batch....6227, cost so far 6642
end of batch....6228, cost so far 6642
end of batch....6229, cost so far 6642
end of batch....6230, cost so far 6642
end of batch....6231, cost so far 6642
end of batch....6232, cost so far 6642
end of batch....6233, cost so far 6642
end of batch....6234, cost so far 6642
end of batch....6235, cost so far 6642
end of batch....6236, cost so far 6642
end of batch....6237, cost so far 6642
end of batch....6238, cost so far 6642
end of batch....6239, cost so far 6642
end of batch....6240, cost so far 6642
end of batch....6241, cost so far 6642
end of batch....6242, cost so far 6642
end of batch....6243, cost so far 6642
end of batch....6244, cost so far 6642
end of batch....6245, cost so far 6642
end of batch....6246, cost so far 6642
end of batch....6247, cost so far 6642
end of batch....6248, cost so far 6642
end of batch....6249, cost so far 6642
end of batch....6250, cost so far 6642
end of batch....6251, cost so far 6642
end of batch....6252, cost so far 6642
end of batch....6253, cost so far 6642
end of batch....6254, cost so far 6642
end of batch....6255, cost so far 6642
end of batch....6256, cost so far 6642
end of batch....6257, cost so far 6642
end of batch....6258, cost so far 6642
end of batch....6259, cost so far 6642
end of batch....6260, cost so far 6642
end of batch....6261, cost so far 6642
end of batch....6262, cost so far 6642
end of batch....6263, cost so far 6642
end of batch....6264, cost so far 6642
end of batch....6265, cost so far 6642
end of batch....6266, cost so far 6642
end of batch....6267, cost so far 6642
end of batch....6268, cost so far 6642
end of batch....6269, cost so far 6642
end of batch....6270, cost so far 6642
end of batch....6271, cost so far 6642
end of batch....6272, cost so far 6642
end of batch....6273, cost so far 6642
end of batch....6274, cost so far 6642
end of batch....6275, cost so far 6642
end of batch....6276, cost so far 6642
end of batch....6277, cost so far 6642
end of batch....6278, cost so far 6642
end of batch....6279, cost so far 6642
end of batch....6280, cost so far 6642
end of batch....6281, cost so far 6642
end of batch....6282, cost so far 6642
end of batch....6283, cost so far 6642
end of batch....6284, cost so far 6642
end of batch....6285, cost so far 6642
end of batch....6286, cost so far 6642
end of batch....6287, cost so far 6642
end of batch....6288, cost so far 6642
end of batch....6289, cost so far 6642
end of batch....6290, cost so far 6642
end of batch....6291, cost so far 6642
end of batch....6292, cost so far 6642
end of batch....6293, cost so far 6642
end of batch....6294, cost so far 6642
end of batch....6295, cost so far 6642
end of batch....6296, cost so far 6642
end of batch....6297, cost so far 6642
end of batch....6298, cost so far 6642
end of batch....6299, cost so far 6642
end of batch....6300, cost so far 6642
end of batch....6301, cost so far 6642
end of batch....6302, cost so far 6642
end of batch....6303, cost so far 6642
end of batch....6304, cost so far 6642
end of batch....6305, cost so far 6642
end of batch....6306, cost so far 6642
end of batch....6307, cost so far 6642
end of batch....6308, cost so far 6642
end of batch....6309, cost so far 6642
end of batch....6310, cost so far 6642
end of batch....6311, cost so far 6642
end of batch....6312, cost so far 6642
end of batch....6313, cost so far 6642
end of batch....6314, cost so far 6642
end of batch....6315, cost so far 6642
end of batch....6316, cost so far 6642
end of batch....6317, cost so far 6642
end of batch....6318, cost so far 6642
end of batch....6319, cost so far 6642
end of batch....6320, cost so far 6642
end of batch....6321, cost so far 6642
end of batch....6322, cost so far 6642
end of batch....6323, cost so far 6642
end of batch....6324, cost so far 6642
end of batch....6325, cost so far 6642
end of batch....6326, cost so far 6642
end of batch....6327, cost so far 6642
end of batch....6328, cost so far 6642
end of batch....6329, cost so far 6642
end of batch....6330, cost so far 6642
end of batch....6331, cost so far 6642
end of batch....6332, cost so far 6642
end of batch....6333, cost so far 6642
end of batch....6334, cost so far 6642
end of batch....6335, cost so far 6642
end of batch....6336, cost so far 6642
end of batch....6337, cost so far 6642
end of batch....6338, cost so far 6642
end of batch....6339, cost so far 6642
end of batch....6340, cost so far 6642
end of batch....6341, cost so far 6642
end of batch....6342, cost so far 6642
end of batch....6343, cost so far 6642
end of batch....6344, cost so far 6642
end of batch....6345, cost so far 6642
end of batch....6346, cost so far 6642
end of batch....6347, cost so far 6642
end of batch....6348, cost so far 6642
end of batch....6349, cost so far 6642
end of batch....6350, cost so far 6642
end of batch....6351, cost so far 6642
end of batch....6352, cost so far 6642
end of batch....6353, cost so far 6642
end of batch....6354, cost so far 6642
end of batch....6355, cost so far 6642
end of batch....6356, cost so far 6642
end of batch....6357, cost so far 6642
end of batch....6358, cost so far 6642
end of batch....6359, cost so far 6642
end of batch....6360, cost so far 6642
end of batch....6361, cost so far 6642
end of batch....6362, cost so far 6642
end of batch....6363, cost so far 6642
end of batch....6364, cost so far 6642
end of batch....6365, cost so far 6642
end of batch....6366, cost so far 6642
end of batch....6367, cost so far 6642
end of batch....6368, cost so far 6642
end of batch....6369, cost so far 6642
end of batch....6370, cost so far 6642
end of batch....6371, cost so far 6642
end of batch....6372, cost so far 6642
end of batch....6373, cost so far 6642
end of batch....6374, cost so far 6642
end of batch....6375, cost so far 6642
end of batch....6376, cost so far 6642
end of batch....6377, cost so far 6642
end of batch....6378, cost so far 6642
end of batch....6379, cost so far 6642
end of batch....6380, cost so far 6642
end of batch....6381, cost so far 6642
end of batch....6382, cost so far 6642
end of batch....6383, cost so far 6642
end of batch....6384, cost so far 6642
end of batch....6385, cost so far 6642
end of batch....6386, cost so far 6642
end of batch....6387, cost so far 6642
end of batch....6388, cost so far 6642
end of batch....6389, cost so far 6642
end of batch....6390, cost so far 6642
end of batch....6391, cost so far 6642
end of batch....6392, cost so far 6642
end of batch....6393, cost so far 6642
end of batch....6394, cost so far 6642
end of batch....6395, cost so far 6642
end of batch....6396, cost so far 6642
end of batch....6397, cost so far 6642
end of batch....6398, cost so far 6642
end of batch....6399, cost so far 6642
end of batch....6400, cost so far 6642
end of batch....6401, cost so far 6642
end of batch....6402, cost so far 6642
end of batch....6403, cost so far 6642
end of batch....6404, cost so far 6642
end of batch....6405, cost so far 6642
end of batch....6406, cost so far 6642
end of batch....6407, cost so far 6642
end of batch....6408, cost so far 6642
end of batch....6409, cost so far 6642
end of batch....6410, cost so far 6642
end of batch....6411, cost so far 6642
end of batch....6412, cost so far 6642
end of batch....6413, cost so far 6642
end of batch....6414, cost so far 6642
end of batch....6415, cost so far 6642
end of batch....6416, cost so far 6642
end of batch....6417, cost so far 6642
end of batch....6418, cost so far 6642
end of batch....6419, cost so far 6642
end of batch....6420, cost so far 6642
end of batch....6421, cost so far 6642
end of batch....6422, cost so far 6642
end of batch....6423, cost so far 6642
end of batch....6424, cost so far 6642
end of batch....6425, cost so far 6642
end of batch....6426, cost so far 6642
end of batch....6427, cost so far 6642
end of batch....6428, cost so far 6642
end of batch....6429, cost so far 6642
end of batch....6430, cost so far 6642
end of batch....6431, cost so far 6642
end of batch....6432, cost so far 6642
end of batch....6433, cost so far 6642
end of batch....6434, cost so far 6642
end of batch....6435, cost so far 6642
end of batch....6436, cost so far 6642
end of batch....6437, cost so far 6642
end of batch....6438, cost so far 6642
end of batch....6439, cost so far 6642
end of batch....6440, cost so far 6642
end of batch....6441, cost so far 6642
end of batch....6442, cost so far 6642
end of batch....6443, cost so far 6642
end of batch....6444, cost so far 6642
end of batch....6445, cost so far 6642
end of batch....6446, cost so far 6642
end of batch....6447, cost so far 6642
end of batch....6448, cost so far 6642
end of batch....6449, cost so far 6642
end of batch....6450, cost so far 6642
end of batch....6451, cost so far 6642
end of batch....6452, cost so far 6642
end of batch....6453, cost so far 6642
end of batch....6454, cost so far 6642
end of batch....6455, cost so far 6642
end of batch....6456, cost so far 6642
end of batch....6457, cost so far 6642
end of batch....6458, cost so far 6642
end of batch....6459, cost so far 6642
end of batch....6460, cost so far 6642
end of batch....6461, cost so far 6642
end of batch....6462, cost so far 6642
end of batch....6463, cost so far 6642
end of batch....6464, cost so far 6642
